state,population,taxpayers,non_taxpayers,percent_nontaxpayers
AL,4218750,8099710,3880960,48
AK,686090,1263560,577470,46
AZ,6577890,12310660,5732770,47
AR,2537980,4963740,2425760,49
CA,36757570,68413300,31655730,46
CO,5776550,10299010,4522460,44
CT,3570260,6283040,2712780,43
DE,979460,1756000,776540,44
DC,677120,1038260,361140,35
FL,21144490,37407760,16263270,43
GA,9622080,18229500,8607420,47
HI,1348100,2439540,1091440,45
ID,1692260,3394680,1702420,50
IL,12035350,21934880,9899530,45
IN,6390460,11924720,5534260,46
IA,2921110,5540520,2619410,47
KS,2679240,5119440,2440200,48
KY,3886020,7385400,3499380,47
LA,3920260,7479880,3559620,48
ME,1396700,2406600,1009900,42
MD,5996840,10793200,4796360,44
MA,6989340,11951940,4962600,42
MI,9567570,17245420,7677850,45
MN,5607160,10261550,4654390,45
MS,2471590,4782760,2311170,48
MO,5621790,10486850,4865060,46
MT,1066350,1922400,856050,45
NE,1835880,3513130,1677250,48
NV,3041760,5489700,2447940,45
NH,1435710,2485920,1050210,42
NJ,9006290,16403020,7396730,45
NM,1898370,3472490,1574120,45
NY,19246080,33504170,14258090,43
NC,9587750,17996920,8409170,47
ND,720730,1345060,624330,46
OH,11323170,20179330,8856160,44
OK,3332750,6577170,3244420,49
OR,4006850,7172530,3165680,44
PA,12583530,22331500,9747970,44
RI,1104390,1843020,738630,40
SC,4786780,8886330,4099550,46
SD,862220,1619870,757650,47
TN,6339300,11926780,5587480,47
TX,26333760,51726230,25392470,49
UT,2920810,6046340,3125530,52
VT,657900,1118570,460670,41
VA,8082190,15016330,6934140,46
WA,7369680,13619920,6250240,46
WV,1530790,2868920,1338130,47
WI,5769230,10421470,4652240,45
WY,549740,1038290,488550,47
Total,310464040,571737330,261273290,84
